date,time,teams,stadium
06.01(토),17:00,LGvs두산,잠실
06.01(토),17:00,NCvs롯데,사직
06.01(토),17:00,한화vs삼성,대구
06.01(토),17:00,KTvsKIA,광주
06.01(토),17:00,SSGvs키움,고척
06.02(일),14:00,LGvs두산,잠실
06.02(일),14:00,SSGvs키움,고척
06.02(일),17:00,NCvs롯데,사직
06.02(일),17:00,한화vs삼성,대구
06.02(일),17:00,KTvsKIA,광주
06.04(화),18:30,키움vsLG,잠실
06.04(화),18:30,삼성vsSSG,문학
06.04(화),18:30,두산vsNC,창원
06.04(화),18:30,한화vsKT,수원
06.04(화),18:30,롯데vsKIA,광주
06.05(수),18:30,키움vsLG,잠실
06.05(수),18:30,삼성vsSSG,문학
06.05(수),18:30,두산vsNC,창원
06.05(수),18:30,한화vsKT,수원
06.05(수),18:30,롯데vsKIA,광주
06.06(목),14:00,삼성vsSSG,문학
06.06(목),14:00,롯데vsKIA,광주
06.06(목),17:00,키움vsLG,잠실
06.06(목),17:00,두산vsNC,창원
06.06(목),17:00,한화vsKT,수원
06.07(금),18:30,KIAvs두산,잠실
06.07(금),18:30,SSGvs롯데,사직
06.07(금),18:30,LGvsKT,수원
06.07(금),18:30,삼성vs키움,고척
06.07(금),18:30,NCvs한화,대전
06.08(토),17:00,KIAvs두산,잠실
06.08(토),17:00,SSGvs롯데,사직
06.08(토),17:00,LGvsKT,수원
06.08(토),17:00,삼성vs키움,고척
06.08(토),17:00,NCvs한화,대전
06.09(일),14:00,삼성vs키움,고척
06.09(일),14:00,SSGvs롯데,사직
06.09(일),17:00,KIAvs두산,잠실
06.09(일),17:00,LGvsKT,수원
06.09(일),17:00,NCvs한화,대전
06.09(일),17:00,SSGvs롯데,사직
06.11(화),18:30,한화vs두산,잠실
06.11(화),18:30,KIAvsSSG,문학
06.11(화),18:30,키움vs롯데,사직
06.11(화),18:30,LGvs삼성,대구
06.11(화),18:30,KTvsNC,창원
06.12(수),18:30,한화vs두산,잠실
06.12(수),18:30,KIAvsSSG,문학
06.12(수),18:30,키움vs롯데,사직
06.12(수),18:30,LGvs삼성,대구
06.12(수),18:30,KTvsNC,창원
06.13(목),18:30,한화vs두산,잠실
06.13(목),18:30,KIAvsSSG,문학
06.13(목),18:30,키움vs롯데,사직
06.13(목),18:30,LGvs삼성,대구
06.13(목),18:30,KTvsNC,창원
06.14(금),18:30,롯데vsLG,잠실
06.14(금),18:30,삼성vsNC,창원
06.14(금),18:30,KIAvsKT,수원
06.14(금),18:30,두산vs키움,고척
06.14(금),18:30,SSGvs한화,대전
06.15(토),17:00,롯데vsLG,잠실
06.15(토),17:00,삼성vsNC,창원
06.15(토),17:00,KIAvsKT,수원
06.15(토),17:00,두산vs키움,고척
06.15(토),17:00,SSGvs한화,대전
06.16(일),14:00,두산vs키움,고척
06.16(일),17:00,롯데vsLG,잠실
06.16(일),17:00,삼성vsNC,창원
06.16(일),17:00,KIAvsKT,수원
06.16(일),17:00,SSGvs한화,대전
06.18(화),18:30,NCvs두산,잠실
06.18(화),18:30,SSGvs삼성,대구
06.18(화),18:30,롯데vsKT,수원
06.18(화),18:30,LGvsKIA,광주
06.18(화),18:30,키움vs한화,청주
06.19(수),18:30,NCvs두산,잠실
06.19(수),18:30,SSGvs삼성,대구
06.19(수),18:30,롯데vsKT,수원
06.19(수),18:30,LGvsKIA,광주
06.19(수),18:30,키움vs한화,청주
06.20(목),18:30,NCvs두산,잠실
06.20(목),18:30,SSGvs삼성,대구
06.20(목),18:30,롯데vsKT,수원
06.20(목),18:30,LGvsKIA,광주
06.20(목),18:30,키움vs한화,청주
06.21(금),18:30,KTvsLG,잠실
06.21(금),18:30,NCvsSSG,문학
06.21(금),18:30,두산vs삼성,대구
06.21(금),18:30,한화vsKIA,광주
06.21(금),18:30,롯데vs키움,고척
06.22(토),17:00,KTvsLG,잠실
06.22(토),17:00,NCvsSSG,문학
06.22(토),17:00,두산vs삼성,대구
06.22(토),17:00,한화vsKIA,광주
06.22(토),17:00,롯데vs키움,고척
06.23(일),14:00,롯데vs키움,고척
06.23(일),17:00,KTvsLG,잠실
06.23(일),17:00,NCvsSSG,문학
06.23(일),17:00,두산vs삼성,대구
06.23(일),17:00,한화vsKIA,광주
06.25(화),18:30,삼성vsLG,잠실
06.25(화),18:30,KTvsSSG,문학
06.25(화),18:30,KIAvs롯데,사직
06.25(화),18:30,NCvs키움,고척
06.25(화),18:30,두산vs한화,대전
06.26(수),18:30,삼성vsLG,잠실
06.26(수),18:30,KTvsSSG,문학
06.26(수),18:30,KIAvs롯데,사직
06.26(수),18:30,NCvs키움,고척
06.26(수),18:30,두산vs한화,대전
06.27(목),18:30,삼성vsLG,잠실
06.27(목),18:30,KTvsSSG,문학
06.27(목),18:30,KIAvs롯데,사직
06.27(목),18:30,NCvs키움,고척
06.27(목),18:30,두산vs한화,대전
06.28(금),18:30,SSGvs두산,잠실
06.28(금),18:30,한화vs롯데,사직
06.28(금),18:30,LGvsNC,창원
06.28(금),18:30,삼성vsKT,수원
06.28(금),18:30,키움vsKIA,광주
06.29(토),17:00,SSGvs두산,잠실
06.29(토),17:00,한화vs롯데,사직
06.29(토),17:00,LGvsNC,창원
06.29(토),17:00,삼성vsKT,수원
06.29(토),17:00,키움vsKIA,광주
06.30(일),17:00,SSGvs두산,잠실
06.30(일),17:00,한화vs롯데,사직
06.30(일),17:00,LGvsNC,창원
06.30(일),17:00,삼성vsKT,수원
06.30(일),17:00,키움vsKIA,광주
07.02(화),18:30,롯데vs두산,잠실
